variant,mlp_layers,sine_layer,train_psnr_db,best_epoch,psnr_mean,psnr_std,ssim_mean,ssim_std,rmse_mean,rmse_std
ablation_depth_4,4,L2,30.88,40,28.201,0.6124,0.8705,0.0126,0.0527,0.0047
ablation_depth_6,6,L3,31.06,70,28.3063,0.6353,0.8761,0.0136,0.0527,0.0048
ablation_depth_8_verify,8,L4,30.99,50,28.2057,0.6487,0.8774,0.0137,0.0531,0.005
ablation_depth_10,10,L5,31.06,70,28.206,0.6606,0.8723,0.0133,0.0535,0.005
ablation_depth_12,12,L6,30.86,40,27.9522,0.6943,0.8755,0.0139,0.0548,0.0053
ablation_sine_none,8,none,30.89,40,28.1524,0.6216,0.876,0.0137,0.053,0.0048
ablation_sine_L2,8,L2,30.89,40,28.0894,0.5699,0.877,0.0132,0.0524,0.0045
ablation_sine_L6,8,L6,30.91,80,28.2777,0.6305,0.877,0.0137,0.0527,0.0048
ablation_sine_all,8,all,30.97,80,28.2936,0.6379,0.8774,0.0135,0.0526,0.0048
baseline_200ep,8,L4,,200,28.3197,0.6664,0.8792,0.0138,0.0529,0.005
